Part,Description
50P1112WP-W/FT-2,"FLIGHT: F50 1.1"" X 12"" X 2"" White Polypropylene"
50P1112RG-W/FT-3,"FLIGHT: F50 1.1"" X 12"" X 3"" Red Glass Filled Nylon"
M6360F10W1,"FLIGHT: M6360 FLAT TOP 2.5"" X 4"" X 4"" WHITE WHI STREAMLINE 4 LINKS"
50P1112RG-W/FT-1/2,"FLIGHT: F50 1.1"" X 12"" X 1/2"" Red Glass Filled Nylon"
50P1112RG-W/FT-1,"FLIGHT: F50 1.1"" X 12"" X 1"" Red Glass Filled Nylon"
M6360U1039,"MODULE: M6360 FLAT TOP 2.5"" X 4"" NATURAL POLYETHYLENE 4 LINKS UNIVERSAL"
M6360U1059,MODULE: FLAT TOP NATURAL ACETAL 4 LINK U
M6360U1059+IM,"MODULE: M6360 FLAT TOP 2.5"" X 4"" NATURAL ACETAL 4 LINKS UNIVERSAL"
M6360U1559+IM,"MODULE: M6360 FLAT TOP 2.5"" X 6"" NATURAL ACETAL"
M6360U15W1,"MODULE: M6360 FLAT TOP 6"" WHITE WHI"
M6360U2039,"MODULE: M6360 FLAT TOP 2.5"" X 8"" NATURAL POLYETHYLENE 8 LINKS UNIVERASL"
M6360U2053,MODULE:  FLAT TOP BLUE ACETAL 8 LINK U
M6360U2053+DX,"MODULE:  M6360 Flat Top 2.5"" X 8"" Blue Acetal +DX X-Ray Detectable 8 Links"
M6360U2059+IM,"MODULE: M6360 FLAT TOP 2.5"" X 8"" NATURAL ACETAL 8 LINKS UNIVERSAL"
M6360U3039,"MODULE: FLAT TOP 12"" NATURAL POLYETHYLENE 12 LINK"
M6360U3059+IM,"MODULE: FLATTOP 12""LNG NAT AC 12 LNK"
M6360U305B+DX,"MODULE: FLATTOP 12""LNG POM X-Ray Detectable Yellow   12 LNK"
M6360U30W1,"MODULE:  FLAT TOP 12""  WHITE WHI   12 LINK"
M63S0803Q6,"SPROCKET: 8T 6.5""PD 1.5"" SQ NAT ACETAL"
M63S0805Q6,"SPROCKET: 8T 6.5""PD 2.5"" SQ NAT ACETAL"
M63S1003Q6,"SPROCKET: 10 TOOTH 8.1""PD 1.5"" SQ NATURAL ACETAL"
M63S1305Q6,"SPROCKET: 13 TOOTH 10.5"" PD 2.5"" SQ BORE"
M6420,M6420
M6420U1058,"MODULE:  HD FLAT TOP 4"" LONG"
M6420U1058+AS,"MODULE: HD FLAT TOP 4"" LONG DARK GARY ACETAL ANTISTATIC"
M6420U2058,"MODULE:  HD FLAT TOP 8"" LONG"
M6423,M6423
M6423U1058+AS,"MODULE:  M6423 NON SLIP 4"" DARK GRAY ACETAL +AS"
M6423U2058+AS,"MODULE:  M6423 NON SLIP 8"" DARK GRAY ACETAL +AS"
M6424,M6424
M6424U2054+JA,MODULE:  M6424  Non Slip Perforated W200 POM+JM antistatic black
M6425,M6425
M6425U2058,"MODULE: REEL TOP 8"" DARK GRAY ACETAL"
M6425U205B,"MODULE:  REEL TOP 8"" YELLOW  ACETAL"
MAB-02,ELASTIC TPU BELT  DESC: GREEN / BLACK   THICKNESS - 1.1MM   FINE TEXTILE STRUCTURE / FINE TEXTILE STRUCTURE
MB610,MB610
MB6100325TBA-L,"MODULE: Monster Belt Mold-To-Width 610 1"" X 3.25"" Tab Blue Acetal Left"
MB6100325TBA-R,"MODULE: Monster Belt Mold-To-Width 610 1"" X 3.25"" Tab Blue Acetal Right"
MB61006BA-L,"MODULE: Monster Belt 610 1"" X 6"" Blue Acetal Left"
MB61006BA-R,"MODULE: Monster Belt 610 1"" X 6"" Blue Acetal Right"
MB61006GN-L,"MODULE: Monster Belt 610 1"" X 6"" Gray Nylon Left"
MB61006GN-R,"MODULE: Monster Belt 610 1"" X 6"" Gray Nylon Right"
MB6100750TGN-L,"MODULE: Monster Belt Mold-To-Width 610 1"" X 7.50"" Tab Gray Nylon Flame Retardant V2 Left"
MB6100750TGN-R,"MODULE: Monster Belt Mold-To-Width 610 1"" X 7.50"" Tab Gray Nylon Flame Retardant V2 Right"
MB61012BA-C,"MODULE: Monster Belt 610 1"" X 12"" Blue Acetal Center"
MB61012BA-L,"MODULE: Monster Belt 610 1"" X 12"" Blue Acetal Left"
MB61012BA-R,"MODULE: Monster Belt 610 1"" X 12"" Blue Acetal Right"
MB61012GN-C,"MODULE: Monster Belt 610 1"" X 12"" Gray Nylon Center"
MB61012GN-L,"MODULE: Monster Belt 610 1"" X 12"" Gray Nylon Left"
MB61012GN-R,"MODULE: Monster Belt 610 1"" X 12"" Gray Nylon Right"
MB610325BA-ASM,"BELT: MB610 MTW 3.25"" x 10 FT Blue Acetal"
MB610325TBA-ASM,"BELT: MB610 MTW-Tab 3.25"" x 10 FT Blue Acetal"
MB610450BA-ASM,"BELT: MB610 MTW 4.50"" x 10 FT Blue Acetal"
MB610450TBA-ASM-PP,"BELT: MB610 MTW-Tab 4.50"" x 10 FT Blue Acetal with Polypropylene Rods"
MB610450TGN-ASM,"BELT: MB610 MTW TAB 4.50"" X 10 Feet Gray Nylon Flame Retardant"
MB610600BA-ASM,"BELT: MB610 MTW 6.00"" x 10 FT Blue Acetal"
MB610600TBA-ASM,"BELT: MB610 MTW-Tab 6.00"" x 10 FT Blue Acetal"
MB610750TBA-ASM,"BELT: MB610 MTW-Tab 7.50"" x 10 FT Blue Acetal with Nylon Rods"
MB610750TGN-ASM,"BELT: MB610 MTW-Tab 7.5"" x 10 FT Gray Nylon"
MB620,MB620
MBST62006BA,"MODULE: Monster Belt Solid Top 2"" X 6"" Blue Acetal"
MBST62006GP,"MODULE: Monster Belt Solid Top 2"" X 6"" Gray Polypropylene"
MBST62012BA,"MODULE: Monster Belt Solid Top 2"" X 12"" Blue Acetal"
MBST62012DY,"MODULE: Monster Belt Solid Top 2"" X 12"" Black Conductive Polypropylene"
MBST62012GP,"MODULE: Monster Belt Solid Top 2"" X 12"" Gray Polypropylene"
MBTR62012GP,"MODULE: Monster Belt Traction Top 2"" X 12"" GrayPolypropylene"
MBVT62012GP,"MODULE: Monster Belt Vented Top 2"" X 12"" GrayPolypropylene"
MDTY404,INTSTALL K10 UNNOTCHED VGUIDE
MDTY406,3PLY LIGHT GRAY HIGH GRIP PVC 1X65.6X.175
MGP04011M4,"ROD: 4.5MM X 4.5"" PBT MOLDED  HDLES SF"
MGP04011M8,"ROD: 4.5MM X 4.5"" TAN NYLON MOLDED HEADLESS SMARTFIT"
MGP040120XT4,"ROD: 4.5MM X 120"" (3050MM) PBT EXTRUDED HEADLESS SMARTFIT"
MGP040120XT8,"ROD: 4.5MM X 120"" (3050MM) TAN NYLON EXTRUDED HEADLESS SMARTFIT"
MGP04015M4,"ROD: 4.5MM X 6"" PBT MOLDED HEADLESS SMARTFIT"
MGP04015M8,"ROD: 4.5MM X 6"" TAN NYLON HEADLESS SMARTFIT"
MGP04019M8,"ROD: 4.5MM X 7.5"" TAN NYLON HEADLESS SMARTFIT"
MGP04060M1,"ROD: 4.5MM X 24"" NATURAL POLYPROPYLENE MOLDED HEADLESS SMARTFIT"
MGP04060M5+003,"ROD: 4.5MM X 24"" POM BLUE MOLDED HEADLESS SMARTFIT"
MGP04060M8,ROD: 4.5MM X 600MM TAN NYLON MOLDED HEADLESS SMARTFIT
MGP04061M4,"ROD: 4.5MM X 24"" PBT MOLDED HEADLESS SMARTFIT"
MGP04061M8,ROD: 4.5MM X 610 MM TAN NYLON MOLDED HEADLESS SMARTFIT
MGP04127M1,"ROD: 4.5MM X 50"" NATURAL POLYPROPYLENE MOLDED HEADLESS SMARTFIT"
MGP04127M5,"ROD: 4.5MM X 50"" NATURAL ACETAL MOLDED HEADLESS SMARTFIT"
MGP04127M8,"ROD: 4.5MM X 50"" TAN NYLON MOLDED HEADLESS SMARTFIT"
MGP04150M8,"ROD: 4.5MM X 60"" TAN NYLON MOLDED HEADLESS SMARTFIT"
MGP10020KS,"ROD: 10MM X 194MM  STAINLESS  STEEL AISI 304
replaces the MHP10020SS rod"
MGPA3030M4,ROD: 3MM X 300MM PBT MICROPITCH MOLDED HEADLESS SMARTFIT
MGPA3030M5,ROD: 3MM X 300MM WHITE ACETAL MICROPITCH MOLDED HEADLESS SMARTFIT
MGPA3030M8,ROD: 3MM X 300MM TAN NYLON MICROPITCH MOLDED HEADLESS SMARTFIT
MGPA3060M4,ROD: 3MM X 600MM PBT MICROPITCH MOLDED HEADLESS SMARTFIT
MGPA3060M5,ROD: 3MM X 600MM WHITE ACETAL MICROPITCH MOLDED HEADLESS SMARTFIT
MGPA3090M5,ROD: 3MM X 900MM WHITE ACETAL MICROPITCH MOLDED HEADLESS SMARTFIT
MGPA3090M8,ROD: 3MM X 900MM TAN NYLON MICROPITCH MOLDED HEADLESS SMARTFIT
MGPA3121M8,ROD: 3MM X 1210MM TAN NYLON MICROPITCH MOLDED HEADLESS SMARTFIT - CURRENTLY BLOCKED BY ITALY
MGPA3140M8,ROD: 3MM X 1402mm MICROPITICH MOLDED NYLON - BEIGE - CURRENT BLOCKED BY ITALY
MGPA3152T4,ROD: 3MM X 1520MM PBT MICROPITCH MOLDED HEADLESS SMARTFIT
MHP030060XT4,"ROD: 3.6MM X 24"" (609MM) PBT EXTRUDED WITH HEAD"
MHP030120XT4,"ROD: 3.6MM X 48"" PBT EXTRUDED WITH HEAD"
MHP030120XT8,ROD: 3.6MM X 1200MM TAN NYLON EXTRUDED WITH HEAD
MHP030150XT8,ROD: 3.6MM X 1500MM TAN NYLON EXTRUDED WITH HEAD
MHP03030M4,"ROD: 3.6MM X 12"" WHTE ACETAL WITH HEAD"
MHP03030M5,"ROD: 3.6MM X 12"" WHTE ACETAL WITH HEAD"
MHP03030M5+003,"ROD: 3.6MM X 12"" BLUE ACETAL WITH HEAD"
MHP03030M8,"ROD: 3.6MM X 12"" TAN NYLON WITH HEAD"
MHP03050M5,"ROD: 3.6MM X 19.68"" WHITE ACETAL W/ HEAD"
MHP03050M5+003,"ROD: 3.6MM X 19.68"" BLUE ACETAL W/ HEAD"
MHP03125M5,"ROD: 3.6MM X 49.25"" WHITE ACETAL W/ HEAD"
MHP03125M5+003,"ROD: 3.6MM X 49.25"" BLUE ACETAL W/ HEAD"
MHP03125M8,"ROD: 3.6MM X 49.25"" TAN NYLON W/ HEAD"
MHP05004M2+ST7,ROD: HAA H-PIVOT 40MM SUPER HI TEMPERATURE END PLUGS
MHP05030M1,"ROD: 5MM X 11.81"" NATURAL POLYPROPYLENE HEX MOLDED ROD"
MHP05090M1,"ROD: 5MM X 36"" NATURAL POLYPROPYLENE HEX MOLDED ROD"
MHP05090M3,"ROD: 5MM X 36"" WHITE POLYETHYLENE HEX MOLDED ROD"
MHP05090M5,"ROD: 5MM X 36"" HEX WHITE ACETAL MOLDED"
MHP05090M8,"ROD: 5MM X 36"" TAN NYLON HEX MOLDED ROD"
MHP05131M1,"ROD: 5MM X 52"" NATURAL POLYPROPYLENE HEX MOLDED ROD"
MHP05131M8,"ROD: 5MM X 52"" TAN NYLON HEX MOLDED ROD"
MHP06008M8,"ROD: 6MM X 3.15"" TAN NYLON HEX MOLDED ROD (3.25"" MTW)"
MHP06011M8,"ROD: 6MM X 4.35"" TAN NYLON HEX MOLDED ROD (4.5"" MTW)"
MHP06015M8,"ROD: 6MM X 5.9"" TAN NYLON HEX MOLDED ROD (6.0"" MTW)"
MHP06017M8,ROD: 6MM X 170MM TAN NYLON HEX MOLDED ROD
MHP06018M8,"ROD: 6MM X 7.28"" TAN NYLON HEX MOLDED ROD (7.5"" MTW)"
MHP06061M1,"ROD: 6MM X 24"" NATURAL POLYPROPYLENE HEX MOLDED ROD"
MHP06061M4,"ROD: 6MM X 24"" WHITE PBT HEX MOLDED"
MHP06061M8,"ROD: 6MM X 24"" TAN NYLON HEX MOLDED ROD"
MHP06105MW+001,"ROD: 6MM X 1050MM (41.3"")  WHITE WHI HEX MOLDED ROD"
MHP06152M4,"ROD: 6MM X 60"" PBT HEX MOLDED ROD"
MHP06152M5,"NO LONGER AVAILABLE TO PURCHASE ROD: 6MM X 60"" ACETAL HEX MOLDED ROD"
MHP06152M8,"ROD: 6MM X 60"" TAN NYLON HEX MOLDED ROD"
MHP07030M3,ROD: 7MM X 300MM WHITE POLYETHYLENE HEX MOLDED ROD
MHP07030M5,ROD: 7MM X 300MM WHITE ACETAL HEX MOLDED ROD
MHP07045M3,ROD: 7MM X 450MM WHITE POLYETHYLENE HEX MOLDED ROD
MHP07060M1,ROD: 7MM X 600MM NATURAL POLYPROPYLENE HEX MOLDED ROD
MHP07060M3,ROD: 7MM X 600MM WHITE POLYETHYLENE HEX MOLDED ROD
MHP07060M3+003,ROD: 7MM X 600MM BLUE POLYETHYLENE HEX MOLDED ROD
MHP07060M3+H15,ROD: 7MM X 600MM LIGHT BLUE POLYETHYLENE +H15 HEX MOLDED ROD
MHP07060M4,ROD: 7MM X 600MM WHITE PBT SMARTFIT MOLDED
MHP07060M5,ROD: 7MM X 600MM WHITE ACETAL HEX MOLDED ROD
MHP07060M5+003,ROD: 7MM X 600MM BLUE ACETAL HEX MOLDED ROD
MHP07060M5+DXB,ROD: 7MM X 600MM HEX MOLDED ROD POM+DX YELLOW-GREEN
MHP07060M8,ROD: 7MM X 600MM TAN NYLON HEX MOLDED ROD
MHP07060MW+001,ROD: 7MM X 600MM WHITE WHI HEX MOLDED ROD
MHP07100M4,ROD: 7MM X 1000MM WHITE PBT SMARTFIT MOLDED
MHP07150M1,ROD: 7MM X 1500MM NATURAL POLYPROPYLENE HEX MOLDED ROD
MHP07150M3,ROD: 7MM X 1500MM WHITE POLYETHYLENE HEX MOLDED ROD
MHP07150M3+H15,ROD: 7MM X 1.5M LIGHT BLUE POLYETHYLENE +H15 HEX MOLDED ROD
MHP07150M5,ROD: 7MM X 1500MM WHITE ACETAL HEX MOLDED ROD
MHP07150M8,ROD: 7MM X 1500MM TAN NYLON HEX MOLDED ROD
MHP08060M3,ROD: 8MM X 600MM WHITE POLYETHYLENE HEX MOLDED ROD
MHP08060M5+DXB,"ROD: 8MM X 24"" POM X-RAY DETECTABLE YELLOW"
MHP08060MW+001,ROD: 8MM X 600MM WHITE WHI HEX MOLDED ROD
MHP08120M3,ROD: 8MM X 1200MM WHITE POLYETHYLENE HEX MOLDED ROD
MHP08120M8,ROD: 8MM X1200MM TAN NYLON HEX MOLDED ROD
MHP10010M8,"ROD: 10MM X 4"" TAN NYLON MOLDED ROD"
MHP10020M8,"ROD: 10MM X 8"" TAN NYLON MOLDED ROD"
MHP10020SS,ROD: 10MM X 200MM STAINLESS STEEL
MISC,MISC
MISC. SHIPMENT,MISCELLANEOUS SHIPMENT
MM580E055B-SC,"MODULE: SM605 Smooth Mesh Edge 0.5"" x 2.0"" Yellow Acetal Saniclip Kit"
N82008M-WN-1,"SPROCKET: 2"" Chain Ext Hub Molded 8 Tooth 5.23"" PD Natural Nylon 1"" RD Bore"
N82008M-WN-1-1/2SQ,"SPROCKET: 2"" Chain Ext Hub Molded 8 Tooth 5.23"" PD Natural Nylon 1.5"" SQ Bore"
N82008M-WN-1-1/4,"SPROCKET: 2"" Chain Ext Hub Molded 8 Tooth 5.23"" PD Natural Nylon1.25"" RD Bore w/ Keyway"
N82008M-WN-1-7/16,"SPROCKET: 2"" Chain Ext Hub Molded 8 Tooth 5.23"" PD Natural Nylon 1 7/16"" RD Bore w/ Keyway"
N82012M-WN-1,"SPROCKET: 2"" Chain Ext Hub Molded 12 Tooth 7.73"" PD Natural Nylon 1"" RD Bore w/ Keyway"
N82012M-WN-1-1/2SQ,"SPROCKET: 2"" Chain Ext Hub Molded 12 Tooth 7.73"" PD Natural Nylon 1.5"" SQ Bore"
N82012M-WN-1-7/16,"SPROCKET: 2"" Chain Ext Hub Molded 12 Tooth 7.73"" PD Natural Nylon 1 7/16"" RD Bore w/ Keyway"
PR61206BA-HDT-L,"MODULE: PR612 1 1/5"" X 6"" Blue Acetal Hold Down Tab Left"
PR61206BA-HDT-R,"MODULE: PR612 1 1/5"" X 6"" Blue Acetal Hold Down Tab Right"
PR61206BA-L,"MODULE: PR612 1 1/5"" X 6"" Blue Acetal Left"
PR61206BA-R,"MODULE: PR612 1 1/5"" X 6"" Blue Acetal Right"
PR61206GA-HDT-L,"MODULE: PR612 1 1/5"" X 6"" Gray Acetal Hold Down Tab Left"
PR61206GA-HDT-R,"MODULE: PR612 1 1/5"" X 6"" Gray Acetal Hold Down Tab Right"
PR61206GA-L,"MODULE: PR612 1 1/5"" X 6"" Gray Acetal Left"
PR61206GA-R,"MODULE: PR612 1 1/5"" X 6"" Gray Acetal Right"
PR61212BA-B,"MODULE: PR612 1 1/5"" X 12"" Blue Acetal Both"
PR61212BA-CF,"MODULE: PR612 1 1/5"" X 12"" Blue Acetal Center Flattened Radius"
PR61212BA-HDT-B,"MODULE: PR612 1 1/5"" X 12"" Blue Acetal Hold Down Tab Both"
PR61212BA-HDT-L,"MODULE: PR612 1 1/5"" X 12"" Blue Acetal Hold Down Tab Left"
PR61212BA-HDT-R,"MODULE: PR612 1 1/5"" X 12"" Blue Acetal Hold Down Tab Right"
PR61212BA-L,"MODULE: PR612 1 1/5"" X 12"" Blue Acetal Left"
PR61212BA-R,"MODULE: PR612 1 1/5"" X 12"" Blue Acetal Right"
PR61212GA-CF,"MODULE: PR612 1 1/5"" X 12"" Gray Acetal Center Flattened Radius"
PR61212GA-HDT-L,"MODULE: PR612 1 1/5"" X 12"" Gray Acetal Hold Down Tab Left"
PR61212GA-HDT-R,"MODULE: PR612 1 1/5"" X 12"" Gray Acetal Hold Down Tab Right"
PR61212GA-L,"MODULE: PR612 1 1/5"" X 12"" Gray Acetal Left"
PR61212GA-R,"MODULE: PR612 1 1/5"" X 12"" Gray Acetal Right"
PR620,PR620
PR62006BA-CTSPS-CCI,"MODULE: Spiral Pro 620 Curved Top Small Product Surface 2"" X 6"" Blue Acetal Counter Clockwise Inner"
PR62006BA-CTSPS-CCO,"MODULE: Spiral Pro 620 Curved Top Small Product Surface 2"" X 6"" Blue Acetal Counter Clockwise Outer"
PR62006BA-CTSPS-CWI,"MODULE: Spiral Pro 620 Curved Top Small Product Surface 2"" X 6"" Blue Acetal Clockwise Inner"
PR62006BA-CTSPS-CWO,"MODULE: Spiral Pro 620 Curved Top Small Product Surface 2"" X 6"" Blue Acetal Clockwise Outer"
PR62006BA-SG/RR-L,"MODULE: Spiral Pro 620 2"" X 6"" Blue Acetal With Sideguard and Reduced Radius Plug Slot Left"
PR62006BA-SG/RR-R,"MODULE: Spiral Pro 620 2"" X 6"" Blue Acetal With Sideguard and Reduced Radius Plug Slot Right"
PR62006BA-SPS-I,"MODULE: Spiral Pro 620 Small Product Surface 2"" X 6"" Blue Acetal Inner"
PR62006BA-SPS-O-V1,"MODULE: Spiral Pro 620 Small Product Surface 2"" X 6"" Blue Acetal Outer V1"
PR62006BD-SPS-I,"MODULE: Spiral Pro 620 Small Product Surface 2"" X 6"" Blue Metal Detectable Acetal Inner"
PR62006BD-SPS-O-V1,"MODULE: Spiral Pro 620 Small Product Surface 2"" X 12"" Blue Metal Detectable Acetal Outer"
PR62006BP-SG/RR-L,"MODULE: Spiral Pro 620 2"" X 6"" Blue Polypropylene With Sideguard and Reduced Radius Plug Slot Left"
PR62006BP-SG/RR-R,"MODULE: Spiral Pro 620 2"" X 6"" Blue Polypropylene With Sideguard and Reduced Radius Plug Slot Right"
PR62006BP-SPS-I,"MODULE: Spiral Pro 620 Small Product Surface 2"" X 6"" Blue Polypropylene Inner"
PR62006BP-SPS-O,"MODULE: Spiral Pro 620 Small Product Surface 2"" X 6"" Blue Polypropylene Outer."
PR62006GA-SG/RR-R,"MODULE: Spiral Pro 620 2"" X 6"" Gray  Acetal With Sideguard and Reduced Radius Plug Slot Right"
PR62006GN-SG/RR-L,"MODULE: Spiral Pro 620 2"" X 6"" Gray Nylon With Sideguard and Reduced Radius Plug Slot Left"
PR62006GN-SG/RR-R,"MODULE: Spiral Pro 620 2"" X 6"" Gray Nylon With Sideguard and Reduced Radius Plug Slot Right"
PR62006GN-SPS-I,"MODULE: Spiral Pro 620 Small Product Surface 2"" X 6"" Gray Nylon Inner"
PR62006GN-SPS-O-V1,"MODULE: Spiral Pro 620 Small Product Surface 2"" X 6"" Gray Nylon Outer V1"
PR62012BA-C,"MODULE: Spiral Pro 620 2"" X 12"" Blue Acetal Center"
PR62012BA-CTSPS-CCC,"MODULE: Spiral Pro 620 Curved Top Small Product Surface 2"" X 12"" Blue Acetal Counter Clockwise Center"
PR62012BA-CTSPS-CCI,"MODULE: Spiral Pro 620 Curved Top Small Product Surface 2"" X 12"" Blue Acetal Counter Clockwise Inner"
PR62012BA-CTSPS-CCO,"MODULE: Spiral Pro 620 Curved Top Small Product Surface 2"" X 12"" Blue Acetal Counter Clockwise Outer"
PR62012BA-CTSPS-CWC,"MODULE: Spiral Pro 620 Curved Top Small Product Surface 2"" X 12"" Blue Acetal Clockwise Center"
PR62012BA-CTSPS-CWI,"MODULE: Spiral Pro 620 Curved Top Small Product Surface 2"" X 12"" Blue Acetal Clockwise Inner"
PR62012BA-CTSPS-CWO,"MODULE: Spiral Pro 620 Curved Top Small Product Surface 2"" X 12"" Blue Acetal Clockwise Outer"
PR62012BA-SG/RR-L,"MODULE: Spiral Pro 620 2"" X 12"" Blue Acetal With Sideguard and Reduced Radius Plug Slot Left"
PR62012BA-SG/RR-R,"MODULE: Spiral Pro 620 2"" X 12"" Blue Acetal With Sideguard and Reduced Radius Plug Slot Right"
PR62012BA-SPS-C,"MODULE: Spiral Pro 620 Small Product Surface 2"" X 12"" Blue Acetal Center"
PR62012BA-SPS-I,"MODULE: Spiral Pro 620 Small Product Surface 2"" X 12"" Blue Acetal Inner"
PR62012BA-SPS-O-V1,"MODULE: Spiral Pro 620 Small Product Surface 2"" X 12"" Blue Acetal Outer V1"
PR62012BD-SPS-C,"MODULE: Spiral Pro 620 Small Product Surface 2"" X 12"" Blue Metal Detectable Acetal Center"
PR62012BD-SPS-I,"MODULE: Spiral Pro 620 Small Product Surface 2"" X 12"" Blue Metal Detectable Acetal Inner"
PR62012BD-SPS-O,"MODULE: Spiral Pro 620 Small Product Surface 2"" X 12"" Blue Metal Detectable Acetal Outer"
PR62012BP-C,"MODULE: Spiral Pro 620 2"" X 12"" Blue Polypropylene Center"
PR62012BP-SG/RR-L,"MODULE: Spiral Pro 620 2"" X 12"" Blue Polypropylene With Sideguard and Reduced Radius Plug Slot Left"
PR62012BP-SG/RR-R,"MODULE: Spiral Pro 620 2"" X 12"" Blue Polypropylene With Sideguard and Reduced Radius Plug Slot Right"
PR62012BP-SPS-I,"MODULE: Spiral Pro 620 Small Product Surface 2"" X 12"" Blue Polypropylene Inner"
PR62012BP-SPS-O,"MODULE: Spiral Pro 620 Small Product Surface 2"" X 12"" Blue Polypropylene Outer."
PR62012GA-C,"MODULE: Spiral Pro 620 2"" X 12"" Gray Acetal Center"
PR62012GA-SG/RR-L,"MODULE: Spiral Pro 620 2"" X 12"" Gray Acetal With Sideguard and Reduced Radius Plug Slot Left"
PR62012GA-SG/RR-R,"MODULE: Spiral Pro 620 2"" X 12"" Gray Acetal With Sideguard and Reduced Radius Plug Slot Left"
PR62012GN-C,"MODULE: Spiral Pro 620 2"" X 12"" Gray Nylon Center"
PR62012GN-SG/RR-L,"MODULE: Spiral Pro 620 2"" X 12"" Gray Nylon With Sideguard and Reduced Radius Plug Slot Left"
PR62012GN-SG/RR-R,"MODULE: Spiral Pro 620 2"" X 12"" Gray Nylon With Sideguard and Reduced Radius Plug Slot Right"
PR62012GN-SPS-C,"MODULE: Spiral Pro 620 Small Product Surface 2"" X 12"" Gray Nylon Center"
PR62012GN-SPS-I,"MODULE: Spiral Pro 620 Small Product Surface 2"" X 12"" Gray Nylon Inner"
PR62012GN-SPS-O-V1,"MODULE: Spiral Pro 620 Small Product Surface 2"" X 12"" Gray Nylon Outer V1"
PR62014BA-TTR-V1,"MODULE: Spiral Pro 620 Tight Turning Radius 2"" X 14"" Blue Acetal"
PR62017BA-TTR-V1,"MODULE: Spiral Pro 620 Tight Turning Radius 2"" X 17"" Blue Acetal"
PR64AAL,POP RIVETS
R1150742,BUSHING 15.497 D = 48-----Replaced by R1152864
R1329250,B5 FLANGE KIT 9.463 100E04
R-156-13-CP,"ROD: 5/32"" X 13"" Natural Polypropylene"
R-156-13-GA,"ROD: 5/32"" X 13"" Gray Acetal"
R-156-13-TN-V1,"ROD: 5/32"" X 13"" Tan Nylon"
R-156-13-WE,"ROD: 5/32"" X 13"" White Polyethylene"
R-156-24-GS,"ROD: 5/32"" X 24"" Gray Steam Resistant Metal Detectable Polypropylene"
R-156-25-CP,"ROD: 5/32"" X 25"" Natural Polypropylene"
R-156-25-DN,"ROD: 5/32"" X 25"" Black Nylon"
R-156-25-GA,"ROD: 5/32"" X 25"" Gray Acetal"
R-156-25-TN-V1,"ROD: 5/32"" X 25"" Tan Nylon"
R-156-25-WE,"ROD: 5/32"" X 25"" White Polyethylene"
R-156-50-CP,"ROD: 5/32"" X 50"" Natural Polypropylene"
R-156-50-TN,"ROD: 5/32"" X 50"" Tan Nylon"
R-172-13-CP,"ROD: 11/64"" X 13"" Natural Polypropylene"
R-172-13-CP-R-303mm,Remnant
R-172-13-TN-V1,"ROD: 11/64"" X 13"" Tan Nylon"
R-172-13-WE,"ROD: 11/64"" X 13"" White Polyethylene"
R-172-19-WK,"ROD: 11/64"" X 19""  White PBT (will be varied lengths 19"" and longer)"
R-172-24-NG,"ROD: 11/64"" X 24"" Brown Glass Filled Nylon"
R-172-25-CP,"ROD: 11/64"" X 25"" Natural Polypropylene"
R-172-25-CP-R355mm,Remnant
R-172-25-CP-R-456mm,Remnant
R-172-25-GA,"ROD: 11/64"" X 25"" Gray Acetal"
R-172-25-TN-V1,"ROD: 11/64"" X 25"" Tan Nylon"
R-172-25-WE,"ROD: 11/64"" X 25"" White Polyethylene"
R-172-50-CP,"ROD: 11/64"" X 50"" Natural Polypropylene"
R-172-50-GA,"ROD: 11/64"" X 50"" Gray Acetal"
R-172-50-TN,"ROD: 11/64"" X 50"" Tan Nylon"
R-172-50-WE,"ROD: 11/64"" X 50"" White Polyethylene"
R-187-13-CP,"ROD: 3/16"" X 13"" Natural Polypropylene"
R-187-13-CP-R-301mm,Remnant
R-187-13-DN,"ROD: 3/16"" X 13"" Black Nylon"
R-187-13-GA,"ROD: 3/16"" X 13"" Gray Acetal"
R-187-13-TN-V1,"ROD: 3/16"" X 13"" Tan Nylon"
R-187-13-WE,"ROD: 3/16"" X 13"" White Polyethylene"
R-187-25-CP,"ROD: 3/16"" X 25"" Natural Polypropylene"
R-187-25-CP-R-452mm,Remnant
R-187-25-DN,"ROD: 3/16"" X 25"" Black Nylon"
R-187-25-GA,"ROD: 3/16"" X 25"" Gray Acetal"
R-187-25-TN-V1,"ROD: 3/16"" X 25"" Tan Nylon"
R-187-25-WE,"ROD: 3/16"" X 25"" White Polyethylene"
R-187-50-CP,"ROD: 3/16"" X 50"" Natural Polypropylene"
R-187-50-TN,"ROD: 3/16"" X 50"" Tan Nylon"
R-187-50-WE,"ROD: 3/16"" X 50"" White Polyethylene"
R-187-7-CP,"ROD: 3/16"" X 7"" Natural Polypropylene"
R-187-7-TN,"ROD: 3/16"" X 7"" Tan Nylon"
R-187-ELT25-TN-V1,"ROD: 3/16"" X 25"" ELT Tan Nylon"
R-187-ST25-CP,"ROD: 3/16"" X 25"" ST Natural Polypropylene"
R-187-ST25-TN-V1,"ROD: 3/16"" X 25"" ST Tan Nylon"
R-187-ST25-WE,"ROD: 3/16"" X 25"" ST White Polyethylene"
R-187-ST50-CP,"ROD: 3/16"" X 50"" ST Natural Polypropylene"
